"user_input_text","sttTime","sentence","gptTimePerSentence","ttsTimePerSentence","avatarPerSentence","avatarPer1SecMean"
"네 그래서 이제 어떻게 해야 되죠?",0.701,"그녀의 생각을 이해하려고 노력하면 대화가 좀 더 원활해질 수 있어요.",0.001,1.282,4.337,0.8603237628936767
"근데 애초에 고등학생이 하루에 7시간씩 유튜브를 보는게 말이 안되죠",2.157,"그렇죠,",2.333,1.238,1.545,1.5236485004425049
"근데 애초에 고등학생이 하루에 7시간씩 유튜브를 보는게 말이 안되죠",2.157,"고등학생으로서 학업이나 다른 활동도 중요하니까요.",0.001,1.146,4.45,0.8851224422454834
"근데 애초에 고등학생이 하루에 7시간씩 유튜브를 보는게 말이 안되죠",2.157,"이런 상황에서 gyosunim님께서는 어떤 변화를 기대하시나요?",0,1.166,3.686,0.9141324162483215
"핸드폰을 2G로 바꾸면 좋겠어요",0.823,"그런 방법도 생각해보셨군요.",4.502,1.143,3.005,0.9934815565745035
"핸드폰을 2G로 바꾸면 좋겠어요",0.823,"하지만 딸의 의견도 들어보는 게 중요할 것 같아요.",0.001,1.621,3.759,0.933593213558197
"핸드폰을 2G로 바꾸면 좋겠어요",0.823,"그녀가 어떻게 느낄지 생각해보신 적 있으신가요?",0,1.162,3.709,0.9208288192749023
"아니요.",0.779,"그렇다면 딸과 함께 대화를 나누며 서로의 생각을 공유해보는 건 어떨까요?",2.481,1.829,5.238,0.867912213007609
"아니요.",0.779,"서로의 입장을 이해하면 더 나은 해결책을 찾을 수 있을 거예요.",0.001,0.996,4.422,0.8796631336212158
"근데 딸이 대화를 하기 싫어해요",0.858,"딸이 대화를 피하는 상황이군요.",2.665,0.96,2.993,0.9899887243906657
"근데 딸이 대화를 하기 싫어해요",0.858,"시간을 두고 천천히 하나씩 해결해 나가면 분명 좋아질 거예요.",0,0.933,4.408,0.8770960807800293
"근데 딸이 대화를 하기 싫어해요",0.858,"딸이 편안하게 이야기할 수 있는 방법을 생각해보는 건 어떨까요?",0.001,1.136,4.421,0.8791475772857666
"네, 좋아요. 어떻게 할 수 있죠?",1.18,"딸이 좋아하는 활동이나 관심 있는 주제를 통해 자연스럽게 대화를 시작해보세요.",2.476,2.105,5.164,0.8554817040761312
"네, 좋아요. 어떻게 할 수 있죠?",1.18,"그녀가 편안함을 느끼면 조금씩 마음을 열 수 있을 거예요.",0,1.457,4.485,0.8911429405212402
"그럼 요새 맛집 이런걸 이야기 해볼까요?",0.774,"네,",2.319,1.409,1.559,1.5403916835784912
"그럼 요새 맛집 이런걸 이야기 해볼까요?",0.774,"좋은 생각이에요.",0,0.868,2.191,1.0860003232955933
"그럼 요새 맛집 이런걸 이야기 해볼까요?",0.774,"맛집이나 음식 이야기는 누구나 흥미롭게 들을 수 있죠.",0.001,2.927,4.279,0.8496590614318847
"그럼 요새 맛집 이런걸 이야기 해볼까요?",0.774,"딸과 함께 맛있는 음식을 찾거나 시도해보는 것도 좋을 것 같아요.",0.001,1.862,4.515,0.8980015754699707
"네, 감사합니다.",1.59,"천만에요,",2.866,1.04,1.463,1.446716070175171
"네, 감사합니다.",1.59,"gyosunim님.",0,1.284,1.504,1.4868319034576416
"네, 감사합니다.",1.59,"도움이 되었다니 기뻐요.",0,1.01,2.223,1.1007411479949951
"네, 감사합니다.",1.59,"언제든지 또 이야기 나누고 싶으시면 찾아오세요.",0,1.031,3.524,0.8757373690605164
